                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.01678,                    0.5,                      1,                0.02145,               0.034222,              0.0022222,              0.0022222
                     69,                0.01668,                    0.5,                      1,                0.02145,               0.033187,              0.0021866,              0.0021866
                     70,                0.01668,                    0.5,                      1,                0.02145,               0.032149,               0.002149,               0.002149
                     71,                0.01668,                    0.5,                      1,                0.02141,               0.031109,              0.0021094,              0.0021094
                     72,                0.01657,                    0.5,                      1,                0.02141,               0.030068,              0.0020678,              0.0020678
                     73,                0.01657,                    0.5,                      1,                0.02141,               0.029024,              0.0020243,              0.0020243
                     74,                0.01657,                    0.5,                      1,                0.02133,               0.027979,              0.0019788,              0.0019788
                     75,                0.01625,                    0.5,                      1,                0.02133,               0.026931,              0.0019313,              0.0019313
                     76,                0.01625,                    0.5,                      1,                0.02133,               0.025882,              0.0018818,              0.0018818
                     77,                0.01625,                    0.5,                      1,                0.02123,                0.02483,              0.0018303,              0.0018303
                     78,                0.01609,                    0.5,                      1,                0.02123,               0.023777,              0.0017768,              0.0017768
                     79,                0.01609,                    0.5,                      1,                0.02123,               0.022721,              0.0017214,              0.0017214
                     80,                0.01609,                    0.5,                      1,                0.02111,               0.021664,               0.001664,               0.001664
                     81,                0.01597,                    0.5,                      1,                0.02111,               0.020605,              0.0016046,              0.0016046
                     82,                0.01597,                    0.5,                      1,                0.02111,               0.019543,              0.0015432,              0.0015432
                     83,                0.01597,                    0.5,                      1,                0.02089,                0.01848,              0.0014799,              0.0014799
                     84,                0.01585,                    0.5,                      1,                0.02089,               0.017415,              0.0014146,              0.0014146
                     85,                0.01585,                    0.5,                      1,                0.02089,               0.016347,              0.0013473,              0.0013473
                     86,                0.01585,                    0.5,                      1,                0.02089,               0.015278,               0.001278,               0.001278
                     87,                0.01585,                      1,                      1,                0.02031,               0.014207,              0.0012067,              0.0012067
                     88,                0.01576,                      1,                      1,                0.02031,               0.013133,              0.0011334,              0.0011334
                     89,                0.01576,                      1,                      1,                0.02031,               0.012058,              0.0010582,              0.0010582
                     90,                0.01576,                      1,                      1,                0.02031,               0.010981,               0.000981,               0.000981
                     91,                0.01576,                      1,                      1,                0.01976,              0.0099018,             0.00090181,             0.00090181
                     92,                0.01569,                      1,                      1,                0.01976,              0.0088206,             0.00082064,             0.00082064
                     93,                0.01569,                      1,                      1,                0.01976,              0.0077375,             0.00073749,             0.00073749
                     94,                0.01569,                      1,                      1,                0.01976,              0.0066524,             0.00065236,             0.00065236
                     95,                0.01569,                      1,                      1,                0.01934,              0.0055653,             0.00056525,             0.00056525
                     96,                0.01565,                      1,                      1,                0.01934,              0.0044762,             0.00047616,             0.00047616
                     97,                0.01565,                      1,                      1,                0.01934,              0.0033851,             0.00038509,             0.00038509
                     98,                0.01565,                      1,                      1,                0.01934,               0.002292,             0.00029204,             0.00029204
                     99,                0.01565,                      1,                      1,                0.01904,               0.001197,             0.00019701,             0.00019701
